 Iteração  Population Size  Mutation Rate  Gerações até solução ou fim  Fitness final  Tempo (s)
        1               10           0.05                         1000             27     1.0992
        1               10           0.50                          312             28     0.3689
        1               10           0.10                           76             28     0.0825
        1              100           0.05                         1000             27    11.4377
        1              100           0.50                           16             28     0.1890
        1              100           0.10                         1000             27    11.1840
        1             1000           0.05                            7             28     0.7961
        1             1000           0.50                            7             28     0.8891
        1             1000           0.10                            6             28     0.7391
        2               10           0.05                         1000             27     1.0968
        2               10           0.50                          357             28     0.4212
        2               10           0.10                         1000             27     1.2647
        2              100           0.05                         1000             27    11.4569
        2              100           0.50                            9             28     0.1094
        2              100           0.10                         1000             27    11.6224
        2             1000           0.05                            4             28     0.4626
        2             1000           0.50                            7             28     0.8077
        2             1000           0.10                           11             28     1.2197
        3               10           0.05                         1000             27     1.0806
        3               10           0.50                           54             28     0.0631
        3               10           0.10                          583             28     0.6322
        3              100           0.05                         1000             27    11.3755
        3              100           0.50                           36             28     0.5121
        3              100           0.10                         1000             27    12.0389
        3             1000           0.05                            3             28     0.4155
        3             1000           0.50                            7             28     0.9009
        3             1000           0.10                            3             28     0.3907
        4               10           0.05                         1000             27     1.2608
        4               10           0.50                         1000             27     1.5052
        4               10           0.10                         1000             27     1.3609
        4              100           0.05                           66             28     0.9087
        4              100           0.50                         1000             27    11.9930
        4              100           0.10                         1000             27    10.9306
        4             1000           0.05                            3             28     0.4017
        4             1000           0.50                            3             28     0.3686
        4             1000           0.10                            4             28     0.4932
        5               10           0.05                         1000             27     1.1088
        5               10           0.50                          196             28     0.2213
        5               10           0.10                          510             28     0.5575
        5              100           0.05                          252             28     2.9825
        5              100           0.50                          122             28     1.6222
        5              100           0.10                            9             28     0.1279
        5             1000           0.05                            0             28     0.0393
        5             1000           0.50                            8             28     1.2905
        5             1000           0.10                            2             28     0.3194


Conclusão: Observa-se uma convergência mais rápida (menos gerações) para melhor solução quando o tamanho da população (population_size) aumenta.
